process_name,page_fault_count,peak_working_set_size,working_set_size,quota_peak_paged_pool_usage,quota_paged_pool_usage,quota_peak_non_paged_pool_usage,quota_non_paged_pool_usage,page_file_usage,peak_page_file_usage
ipf_helper.exe,294066,13193216,12525568,157152,155904,13664,11760,2269184,2764800
Razer Synapse Service Process.exe,149273,69476352,69070848,600816,580024,94088,59064,44957696,45322240
nvcontainer.exe,430258,123990016,94433280,802872,460808,1146656,63848,45527040,114016256
sihost.exe,19022,46448640,45989888,381304,354312,25584,22304,7880704,8265728
svchost.exe,22696,56901632,55042048,354592,329344,66672,27136,14290944,14880768
svchost.exe,3128,11689984,11440128,119360,118704,10480,9392,2187264,2592768
taskhostw.exe,12063,25452544,25444352,219440,218376,42808,40056,9752576,9752576
ShellHost.exe,19389,62128128,61419520,741680,736000,26504,25144,57704448,58073088
Explorer.EXE,1643837,479555584,393502720,7001160,3485576,197472,135128,265146368,498511872
cmd.exe,2123,7200768,7106560,44616,44392,15304,8680,2846720,5148672
conhost.exe,2554,9756672,9715712,220680,187472,11288,10744,1859584,1941504
svchost.exe,10628,37384192,36233216,361272,329856,20280,18232,6479872,6914048
SearchHost.exe,178458,316981248,244523008,2259696,2114128,135288,112344,174170112,255102976
StartMenuExperienceHost.exe,49538,140656640,139276288,1093408,1076232,46416,41640,98172928,99123200
RuntimeBroker.exe,48970,78114816,70176768,784736,505040,45328,36288,16715776,23601152
svchost.exe,9622,28913664,23060480,229344,220112,16656,15240,3964928,5718016
RuntimeBroker.exe,26518,43233280,37326848,332032,268544,24232,18432,5533696,7778304
DllHost.exe,6405,18251776,18214912,170432,169048,29200,25576,6197248,6520832
Razer Synapse 3.exe,116951,191123456,188149760,1372520,1341304,232396,201296,120385536,123785216
Razer Central.exe,98810,180953088,175345664,1467352,1353656,145952,90656,108240896,115167232
CefSharp.BrowserSubprocess.exe,12148,40677376,40468480,716192,707200,96120,41768,19460096,20066304
CefSharp.BrowserSubprocess.exe,10142,35991552,34349056,726264,718264,37936,33864,18481152,18956288
TextInputHost.exe,76596,227926016,191066112,1461920,1413992,173280,95000,138649600,176119808
CefSharp.BrowserSubprocess.exe,9153,32481280,31907840,711688,710744,34544,31216,17960960,18804736
CefSharp.BrowserSubprocess.exe,11036,38993920,38670336,711688,711000,36464,34272,21409792,21979136
CefSharp.BrowserSubprocess.exe,178237,266948608,134193152,941120,858768,95712,63512,85028864,177229824
EarTrumpet.exe,37041,82960384,82104320,1069176,793272,51544,50184,51511296,55848960
voicemeeter8.exe,44465,143171584,125571072,372808,338176,58392,36088,81432576,81457152
ApplicationFrameHost.exe,71820,68620288,68141056,807176,751576,32216,31400,63750144,64327680
svchost.exe,14595,26513408,25964544,246136,226232,16872,15648,3936256,4116480
XboxPcAppFT.exe,22863,56475648,56139776,435960,434096,121684,36560,10010624,10403840
XGameHelper.exe,3732,14905344,14667776,127776,125552,10208,8984,1818624,2093056
DllHost.exe,797673,87621632,24760320,1153368,129528,24488,11296,16367616,88150016
DllHost.exe,2747,9674752,9662464,108040,107800,12584,11496,2125824,2322432
ShellExperienceHost.exe,41597,122589184,122003456,2029896,1938256,41416,40960,81416192,82845696
RuntimeBroker.exe,18507,39403520,38158336,292144,277224,22784,21360,6713344,7352320
DataExchangeHost.exe,128250,79286272,58306560,1020832,397984,34184,26120,18747392,73089024
RuntimeBroker.exe,3558,11460608,11444224,116992,114496,9528,9392,2068480,2088960
Spotify.exe,283782,323608576,319496192,1353888,1310488,383672,82992,203735040,208420864
Spotify.exe,5748,22503424,22384640,730632,729608,16104,15800,15855616,15990784
Spotify.exe,183995,177057792,139001856,1281736,1233384,56144,37752,209530880,348811264
Spotify.exe,45057,51773440,49147904,975864,765736,328560,28728,26112000,28045312
Spotify.exe,9712,32669696,27979776,697872,697424,986432,16224,18395136,24059904
Spotify.exe,828337,409141248,322691072,1169112,1056472,148944,45952,262455296,321273856
chrome.exe,418538,370327552,296988672,1901304,1380888,2345408,73984,143159296,178909184
chrome.exe,2656,9670656,9564160,154328,153752,12280,11160,2289664,2445312
chrome.exe,61285,107671552,81711104,1037848,988664,179864,56984,54984704,57327616
chrome.exe,44351,63586304,54996992,936544,716240,153900,24336,23068672,35057664
chrome.exe,10327,29474816,24498176,633048,631544,1087032,15784,11063296,17555456
chrome.exe,174229,236797952,212004864,848136,658408,763976,34064,186101760,215695360
chrome.exe,11080,41107456,41107456,667984,658408,62808,24984,20070400,20070400
chrome.exe,25303,77529088,73342976,898472,667712,61304,25144,32690176,37335040
chrome.exe,6223,22835200,22753280,682264,681144,27144,17480,8212480,8294400
chrome.exe,38339,114982912,96313344,689048,679928,67336,31272,42377216,67149824
chrome.exe,100949,239968256,151601152,745704,690360,99184,42184,87764992,178143232
chrome.exe,147318,266321920,186073088,794208,715592,110520,38744,98459648,183828480
chrome.exe,8710,31842304,31842304,679488,678888,52240,21088,14077952,14077952
bootstrapper.exe,374733,11145216,10678272,963160,171088,20344,10272,2424832,2928640
bootstrappercrashhandler.exe,2971,11673600,11665408,164656,164256,65744,12480,2560000,2654208
cod.exe,20043528,7188873216,6630961152,3624432,2824584,982112,911968,9766080512,11789897728
codCrashHandler.exe,3868,13398016,12922880,177728,169736,65744,13568,2760704,3350528
GameBarPresenceWriter.exe,6105,24117248,24068096,235392,226688,104904,18392,4169728,4431872
chrome.exe,21168,68304896,64069632,695496,675016,40936,25408,34574336,42024960
sp24-cod.exe,463528,1098199040,567222272,1296640,274760,431248,431248,555470848,1093783552
codCrashHandler.exe,3029,11915264,11915264,165480,165304,65744,12752,2740224,2740224
XboxPcApp.exe,146325,358289408,357621760,3636128,3402768,167156,108920,322158592,325734400
RuntimeBroker.exe,11253,43548672,42119168,348232,304272,48504,23424,7249920,8736768
XboxPcTray.exe,9542,37380096,36978688,293016,292424,23600,23536,6144000,6545408
GameBar.exe,34784,120311808,120209408,1027464,1026040,120040,53040,75489280,75743232
svchost.exe,22820,74641408,51265536,727208,388856,115152,26160,45031424,93130752
GameBarFTServer.exe,6996,26828800,26828800,261840,261584,20200,20200,5054464,5058560
RuntimeBroker.exe,11161,42471424,42151936,335928,335016,24472,23864,11284480,11603968
XboxGameBarWidgets.exe,32433,110374912,109924352,1525368,1119184,135472,52440,75620352,76111872
dxdiag.exe,2071,8163328,8163328,132280,132104,9256,9120,1470464,1470464
