UsedInCrashSignature,FrameIndex,FrameAddress,FrameAdjustedAddress,ModuleBaseAddress,ModuleName
0,17,0x00007FF95728BB0A,0x00000000000CBB0A,0x00007FF9571C0000,C:\WINDOWS\System32\KERNELBASE.dll
1,16,0x00007FF7C880DAEE,0x00000000081ADAEE,0x00007FF7C0660000,C:\Program Files\WindowsApps\38985CA0.COREBase_1.0.67.0_x64_ww_5bkah9njm3e9g\cod.exe
1,15,0x00007FF7C2D8AED5,0x000000000272AED5,0x00007FF7C0660000,C:\Program Files\WindowsApps\38985CA0.COREBase_1.0.67.0_x64_ww_5bkah9njm3e9g\cod.exe
1,14,0x00007FF7C2D974F0,0x00000000027374F0,0x00007FF7C0660000,C:\Program Files\WindowsApps\38985CA0.COREBase_1.0.67.0_x64_ww_5bkah9njm3e9g\cod.exe
1,13,0x00007FF7C2D98CE5,0x0000000002738CE5,0x00007FF7C0660000,C:\Program Files\WindowsApps\38985CA0.COREBase_1.0.67.0_x64_ww_5bkah9njm3e9g\cod.exe
1,12,0x00007FF7C26B1F3B,0x0000000002051F3B,0x00007FF7C0660000,C:\Program Files\WindowsApps\38985CA0.COREBase_1.0.67.0_x64_ww_5bkah9njm3e9g\cod.exe
1,11,0x00007FF7C555741D,0x0000000004EF741D,0x00007FF7C0660000,C:\Program Files\WindowsApps\38985CA0.COREBase_1.0.67.0_x64_ww_5bkah9njm3e9g\cod.exe
1,10,0x00007FF7C2A544A8,0x00000000023F44A8,0x00007FF7C0660000,C:\Program Files\WindowsApps\38985CA0.COREBase_1.0.67.0_x64_ww_5bkah9njm3e9g\cod.exe
1,9,0x00007FF7C2A6CB6D,0x000000000240CB6D,0x00007FF7C0660000,C:\Program Files\WindowsApps\38985CA0.COREBase_1.0.67.0_x64_ww_5bkah9njm3e9g\cod.exe
0,8,0x00007FF7C268BBA1,0x000000000202BBA1,0x00007FF7C0660000,C:\Program Files\WindowsApps\38985CA0.COREBase_1.0.67.0_x64_ww_5bkah9njm3e9g\cod.exe
0,7,0x00007FF7C268BAEE,0x000000000202BAEE,0x00007FF7C0660000,C:\Program Files\WindowsApps\38985CA0.COREBase_1.0.67.0_x64_ww_5bkah9njm3e9g\cod.exe
0,6,0x00007FF7C7F07BCD,0x00000000078A7BCD,0x00007FF7C0660000,C:\Program Files\WindowsApps\38985CA0.COREBase_1.0.67.0_x64_ww_5bkah9njm3e9g\cod.exe
0,5,0x00007FF7C7EFE228,0x000000000789E228,0x00007FF7C0660000,C:\Program Files\WindowsApps\38985CA0.COREBase_1.0.67.0_x64_ww_5bkah9njm3e9g\cod.exe
0,4,0x00007FF7C89150F3,0x00000000082B50F3,0x00007FF7C0660000,C:\Program Files\WindowsApps\38985CA0.COREBase_1.0.67.0_x64_ww_5bkah9njm3e9g\cod.exe
0,3,0x00007FF7C95B4F7A,0x0000000008F54F7A,0x00007FF7C0660000,C:\Program Files\WindowsApps\38985CA0.COREBase_1.0.67.0_x64_ww_5bkah9njm3e9g\cod.exe
0,2,0x00007FF957C6E8D7,0x000000000002E8D7,0x00007FF957C40000,C:\WINDOWS\System32\KERNEL32.DLL
0,1,0x00007FF9599FBF2C,0x00000000000BBF2C,0x00007FF959940000,C:\WINDOWS\SYSTEM32\ntdll.dll
#,,,,,Number of frames captured: 17
#,,,,,Crash signature generated - based on 8 frames : BAC1F197-AD2CE49D-C54A7805-E9436749
